,Unnamed: 0,playerID,nameFirst,nameLast,bats,throws,debut,finalGame,G,AB,R,H,2B,3B,HR,RBI,SB,BB,SO,IBB,HBP,SH,SF,Years_Played,HoF,votedBy,Most Valuable Player,AS_games,Gold Glove,Rookie of the Year,World Series MVP,Silver Slugger,playerIDmstr,G_all,G_p,G_c,G_1b,G_2b,G_3b,G_ss,G_lf,G_cf,G_rf,G_of,G_dh,pre1920,1920-41,1942-45,1946-62,1963-76,1977-92,1993-2009,post2009,1B,SLG,OBS,OPS
6894,10326.0,livinmi01,Mickey,Livingston,R,R,1938-09-17,1951.0,561.0,1490.0,128.0,354.0,56.0,9.0,19.0,153.0,7.0,144.0,141.0,,13.0,18.0,,10.0,,,,,,,,,livinmi01,562,0,484,14,0,0,0,0,0,0,0,0.0,0,98,280,184,0,0,0,0,270.0,0.32550335570469796,,
6924,15099.0,roepr01,Preacher,Roe,R,L,1938-08-22,1954.0,333.0,620.0,37.0,68.0,3.0,0.0,1.0,28.0,0.0,38.0,215.0,,0.0,63.0,,12.0,,,,5.0,,,,,roepr01,333,333,0,0,0,0,0,0,0,0,0,0.0,0,1,72,260,0,0,0,0,64.0,0.11935483870967742,,
6931,16379.0,slaugen01,Enos,Slaughter,L,R,1938-04-19,1959.0,2380.0,7946.0,1247.0,2383.0,413.0,148.0,169.0,1304.0,71.0,1018.0,538.0,,37.0,73.0,,19.0,1.0,Veterans,,10.0,,,,,slaugen01,2380,0,0,0,0,0,0,509,21,1540,2063,0.0,0,514,152,1714,0,0,0,0,1653.0,0.4529322929775988,,
6940,17877.0,treshmi01,Mike,Tresh,R,R,1938-09-04,1949.0,1027.0,3169.0,326.0,788.0,75.0,14.0,2.0,297.0,19.0,402.0,263.0,,12.0,54.0,,12.0,,,,1.0,,,,,treshmi01,1027,0,1019,0,0,0,0,0,0,0,0,0.0,0,379,401,247,0,0,0,0,697.0,0.28305459135373934,,
6961,1221.0,berarjo01,Johnny,Berardino,R,R,1939-04-22,1952.0,912.0,3028.0,334.0,755.0,167.0,23.0,36.0,387.0,27.0,284.0,268.0,,13.0,32.0,,11.0,,,,,,,,,berarjo01,912,0,0,26,454,90,266,1,0,0,1,0.0,0,396,29,487,0,0,0,0,529.0,0.35535006605019814,,
6977,4489.0,dicksmu01,Murry,Dickson,R,R,1939-09-30,1959.0,638.0,1095.0,81.0,253.0,34.0,5.0,3.0,82.0,0.0,12.0,105.0,,2.0,33.0,,18.0,,,,1.0,,,,,dicksmu01,638,625,0,0,0,0,0,0,0,0,0,0.0,0,2,68,568,0,0,0,0,211.0,0.27945205479452057,,
6979,4569.0,dobsojo01,Joe,Dobson,R,R,1939-04-26,1954.0,414.0,697.0,46.0,106.0,7.0,1.0,2.0,35.0,1.0,54.0,244.0,,7.0,64.0,,14.0,,,,1.0,,,,,dobsojo01,414,414,0,0,0,0,0,0,0,0,0,0.0,0,102,55,257,0,0,0,0,96.0,0.17360114777618366,,
6983,5066.0,elliobo01,Bob,Elliott,R,R,1939-09-02,1953.0,1978.0,7141.0,1064.0,2061.0,382.0,94.0,170.0,1195.0,60.0,967.0,604.0,,16.0,66.0,,15.0,,,1.0,7.0,,,,,elliobo01,1978,0,0,0,2,1362,2,65,64,412,537,0.0,0,321,586,1071,0,0,0,0,1415.0,0.43985436213415485,,
6984,5238.0,evansal01,Al,Evans,R,R,1939-09-13,1951.0,704.0,2053.0,188.0,514.0,70.0,23.0,13.0,211.0,14.0,243.0,206.0,,7.0,19.0,,12.0,,,,,,,,,evansal01,704,0,647,0,0,0,0,0,0,0,0,0.0,0,74,139,491,0,0,0,0,408.0,0.32586458840720894,,
6995,7014.0,gustifr01,Frankie,Gustine,R,R,1939-09-13,1950.0,1261.0,4582.0,553.0,1214.0,222.0,47.0,38.0,480.0,60.0,369.0,427.0,,15.0,71.0,,12.0,,,,3.0,,,,,gustifr01,1261,0,2,1,549,384,305,0,0,0,0,0.0,0,276,482,503,0,0,0,0,907.0,0.3587952859013531,,
